RID,datetime,idn,carrier,date,connection,arrival,delay_in_min,name
nc73763601,06-05-22 7:30,9383523/3  ,Koleje Mazowieckie,06-05-22,Skierniewice - Mińsk Mazowiecki,8:355:00 AM,23,Warszawa Ochota
uu60507257,06-05-22 7:30,5400/35  ,PKP Intercity,06-05-22,Gdynia Główna - Gliwice,7:43,0,Gdańsk Oliwa
ak0229lp5kyk,06-05-22 7:30,506238/9  ,POLREGIO Sp. z o.o.,06-05-22,Elbląg - Gdynia Chylonia,7:45,0,Gdańsk Oliwa
ci40070887,06-05-22 7:30,8523023,POLREGIO Sp. z o.o.,06-05-22,Słupsk - Bydgoszcz Główna,7:49,30,Gdańsk Oliwa
nc73763596,06-05-22 7:30,96955/4  ,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Kościerzyna - Gdynia Główna,8:03,0,Gdańsk Oliwa
us6000i8g6,06-05-22 7:30,55587,POLREGIO Sp. z o.o.,06-05-22,Smętowo - Gdynia Chylonia,8:08,23,Gdańsk Oliwa
ak0229lopcdq,06-05-22 7:30,353570/35  KARPATY,PKP Intercity,06-05-22,Kraków Główny - Gdynia Główna,8:357:00 AM,99,Gdańsk Oliwa
nc73763591,06-05-22 7:30,5835023/3  ŻUŁAWY,PKP Intercity,06-05-22,Olsztyn Główny - Szczecin Główny,8:39,0,Gdańsk Oliwa
nn00843756,06-05-22 7:30,7500/35  BAŁTYK,PKP Intercity,06-05-22,Poznań Główny - Gdynia Główna,8:47,0,Gdańsk Oliwa
nn00843799,06-05-22 7:30,8300/35  ,PKP Intercity,06-05-22,Kołobrzeg - Kraków Główny,8:48,31,Gdańsk Oliwa
uu60507252,06-05-22 7:30,355350/35  NEPTUN,PKP Intercity,06-05-22,Warszawa Zachodnia - Gdynia Główna,9:3535:00 AM,0,Gdańsk Oliwa
hv73090012,06-05-22 7:30,96957/6  ,POLREGIO Sp. z o.o.,06-05-22,Kościerzyna - Gdynia Główna,9:357:00 AM,0,Gdańsk Oliwa
